dataset,model,pred_len,seq_len,seed,training_time,mse,mae,swd,ept,crps,nll,experiment,eval_tag,sigma,fern_nll
lorenz96_switch_ode0,fern,64,336,7,927.4234306812286,1.5945534706115723,0.6959977149963379,1.2860342264175415,62.25956344604492,0.6046057939529419,12.406786918640137,lorenz96_switch,fern_nll,0.0,0.8175960183143616
lorenz96_switch_ode0,fern,192,336,1955,378.9948801994324,6.995832443237305,1.8919677734375,3.580186367034912,132.15599060058594,1.6578019857406616,13.102311134338379,lorenz96_switch,fern_nll,0.0,10.971633911132812
lorenz96_switch_ode0,fern,192,336,7,377.1448187828064,7.120143890380859,1.8827409744262695,3.4622771739959717,130.97274780273438,1.6503134965896606,13.269808769226074,lorenz96_switch,fern_nll,0.0,11.178476333618164
lorenz_ode0,fern,64,336,1955,359.60013461112976,0.9224840998649597,0.5874487161636353,0.5372266173362732,63.78514099121094,0.44956955313682556,2.0339155197143555,lorenz,fern_nll,0.0,1.000519871711731
lorenz_ode0,fern,64,336,7,271.62594199180603,1.7597514390945435,0.8320102095603943,0.8802627921104431,63.42136001586914,0.6611259579658508,3.260054588317871,lorenz,fern_nll,0.0,2.302079439163208
lorenz_ode0,fern,192,336,1955,496.06924390792847,10.489836692810059,1.6550723314285278,2.367172956466675,176.4016876220703,1.439302921295166,19.1099853515625,lorenz,fern_nll,0.0,16.75640869140625
lorenz_ode0,fern,192,336,7,665.7274971008301,12.724291801452637,1.7114580869674683,2.422368288040161,171.5699462890625,1.5029171705245972,23.227733612060547,lorenz,fern_nll,0.0,20.49528694152832
lorenz_param_shock_ode0,fern,64,336,1955,520.2178275585175,4.512823104858398,0.906320333480835,2.8542892932891846,62.98421859741211,0.7430381178855896,8.885590553283691,lorenz_param_shock,fern_nll,0.0,6.908431053161621
lorenz_param_shock_ode0,fern,64,336,7,518.9463739395142,4.447626113891602,0.8201156854629517,2.469569206237793,62.97998046875,0.6716824173927307,8.345138549804688,lorenz_param_shock,fern_nll,0.0,6.78037691116333
lorenz_param_shock_ode0,fern,192,336,1955,518.1812014579773,21.3286075592041,2.40873646736145,5.463658332824707,164.8176727294922,2.1767866611480713,38.59831619262695,lorenz_param_shock,fern_nll,0.0,34.68808364868164
