dataset,model,flavor,pred_len,seq_len,sigma,seed,mse,mae,crps,swd,ept
lorenz_state_shock,chronos-bolt-base,chronos,192,336,0.0,0,87.23184300651734,7.374384815411785,5.835329245817559,54.91496658325195,44.095455169677734
lorenz_state_shock,chronos-bolt-small,chronos_small,64,336,0.0,0,64.7294970687871,5.942145142122742,4.674581627293104,49.50069808959961,37.29438781738281
lorenz_state_shock,chronos-bolt-small,chronos_small,192,336,0.0,0,87.01694410264581,7.394613159854987,5.857563505204798,56.95164108276367,42.04360580444336
lorenz_state_shock,chronos-2,chronos2,64,336,0.0,0,53.656253422621226,4.728181900362863,3.787659792661493,32.270179748535156,44.89742660522461
lorenz_state_shock,chronos-2,chronos2,192,336,0.0,0,89.01970892879741,6.9946733700865735,5.645555369286828,36.01615905761719,56.94055938720703
lorenz_switch,chronos-bolt-base,chronos,64,336,0.0,0,58.61397487581192,5.377422167114525,4.338922998848823,41.65576171875,42.56784439086914
lorenz_switch,chronos-bolt-base,chronos,192,336,0.0,0,83.27584117775338,7.036901766752935,5.768770037019107,43.78083801269531,59.939796447753906
lorenz_switch,chronos-bolt-small,chronos_small,64,336,0.0,0,61.4956978318543,5.641504022561919,4.549340932552708,42.926300048828125,40.18806457519531
lorenz_switch,chronos-bolt-small,chronos_small,192,336,0.0,0,81.49490769459359,6.968447818929204,5.732708889099222,45.6826057434082,58.530208587646484
lorenz_switch,chronos-2,chronos2,64,336,0.0,0,42.590073087073165,3.644994421699426,3.00279528471929,25.812711715698242,51.67843246459961
lorenz_switch,chronos-2,chronos2,192,336,0.0,0,77.17017341302326,6.037762056364432,5.083972294433527,25.889934539794922,86.92927551269531
lorenz,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,61.42886041420569,5.365943979400155,4.306945598834283,39.75370788574219,40.891387939453125
lorenz,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,92.37359099866218,7.227332540028575,5.790224316891083,36.133689880371094,47.194271087646484
lorenz_param_shock,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,48.304164970292284,4.517857785251231,3.6389124183018953,32.40574645996094,45.87253952026367
lorenz_param_shock,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,78.58274468404247,6.378325938230206,5.219796847697129,31.65106964111328,68.06725311279297
lorenz_state_shock,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,54.22122989723263,5.075296672299468,4.041297887174286,35.07054138183594,41.97011184692383
lorenz_state_shock,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,82.1110572990111,6.821444972819946,5.432183739212902,35.99177932739258,50.643455505371094
lorenz_switch,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,49.739822001180634,4.334718507391133,3.5407163825234833,32.26921463012695,47.24419403076172
