dataset,model,seed,pred_len,sigma,ad_stat,ad_pval,n_rejected,n_directions,fdr_q,n_samples,cov_50%,cov_80%,cov_90%,cov_95%,rejected_ch0,median_p_ch0,rejected_ch1,rejected_ch2,median_p_ch1,median_p_ch2
doublewell_param_shock_ode2,fern,42,192,1.0,10.504869495031585,2.0482198618954803e-25,21,192,0.05,1974,0.24991820753123944,0.4541909405606214,0.5599565180682202,0.6415590172239108,21,0.36856383011866584,,,,
doublewell_param_shock_ode2,fern,42,192,2.0,1.2473952893106457,0.0029476098729542917,6,192,0.05,1974,0.1364219224924012,0.2576568304626815,0.3271988981762918,0.3857438365417089,6,0.42772076642862844,,,,
doublewell_param_shock_ode2,fern,42,192,0.25,12.09013449041035,4.538787879717182e-29,70,192,0.05,1974,0.4879923378926038,0.7741525244849713,0.8698523514015535,0.9187114783856805,70,0.11239741374059015,,,,
doublewell_switch_ode0,fern,42,192,0.0,23.361926013117,0.0,41,192,0.05,1974,0.46828035292131037,0.7545328858493752,0.8556574003714961,0.9095243372171564,41,0.2984610227095495,,,,
doublewell_switch_ode0,fern,42,192,1.0,7.2786488470660515,7.499289158105024e-18,26,192,0.05,1974,0.2487783899020601,0.450404740797028,0.5562758569739953,0.6367833924349882,26,0.368391548108728,,,,
doublewell_switch_ode0,fern,42,192,2.0,0.4752577942292362,0.23736060360530747,1,192,0.05,1974,0.13885722728807834,0.25862778622087135,0.3276659067882472,0.3864509456264775,1,0.4531363200459345,,,,
doublewell_switch_ode0,fern,42,192,0.25,21.237329598291325,0.0,39,192,0.05,1974,0.46780806737588654,0.7565724206349206,0.8580267434988179,0.9118593802769335,39,0.36494684873025685,,,,
doublewell_switch_ode1,fern,42,192,0.0,10.695709491824033,7.400744505354013e-26,104,192,0.05,1974,0.45753387791286726,0.7408656281661601,0.8431405141843972,0.8989889395474502,104,0.018310512689947912,,,,
doublewell_switch_ode1,fern,42,192,1.0,5.929464607742574,1.2255971324314726e-14,46,192,0.05,1974,0.24673357818304628,0.4480433130699088,0.5525371496116177,0.6333665780141844,46,0.233159814068895,,,,
doublewell_switch_ode1,fern,42,192,2.0,0.4396819648178507,0.2893650929360452,2,192,0.05,1974,0.1349602119216481,0.2527017899358325,0.3203045845997974,0.3771424349881797,2,0.454414988171452,,,,
doublewell_switch_ode1,fern,42,192,0.25,6.486301899652005,5.735167334860331e-16,99,192,0.05,1974,0.4823882345491388,0.7685167595406958,0.8640398091860858,0.9148461246200608,99,0.017098771563514897,,,,
doublewell_switch_ode2,fern,42,192,0.0,9.970188944433374,3.574205071765616e-24,145,192,0.05,1974,0.5031661600810537,0.7895796394799054,0.8802479103343465,0.9252548758865248,145,0.002436329083003689,,,,
doublewell_switch_ode2,fern,42,192,1.0,7.825081083853149,3.819672672448156e-19,27,192,0.05,1974,0.2455620989530564,0.44742591185410335,0.5544025455927052,0.6356277440054036,27,0.35152501746472575,,,,
doublewell_switch_ode2,fern,42,192,2.0,2.7494596741741475,6.0169610629823e-7,6,192,0.05,1974,0.13980707531239447,0.2617121538331645,0.33123575227963525,0.38970681357649445,6,0.37608259553873635,,,,
doublewell_switch_ode2,fern,42,192,0.25,11.682714068894967,3.9105673548203348e-28,85,192,0.05,1974,0.48931157125970953,0.778429479061128,0.8728945035460993,0.9212734295845998,85,0.04784902371924524,,,,
rossler_ode0,fern,42,192,0.0,2.8935756912646866,2.7923735883976313e-7,562,576,0.05,3073,0.9457822612720107,0.9944058014245941,0.998293266623278,0.9993254420219113,189,4.863264916732498e-19,181,192,3.873721050110217e-15,1.554859058633908e-46
rossler_ode0,fern,42,192,0.25,26.49750834710528,0.0,393,576,0.05,3073,0.6441599323860144,0.8797416793216907,0.9308764508081137,0.9535927839245038,113,0.00603149187425254,109,171,0.016993803161008188,1.4481161051795215e-50
rossler_ode0_nr1,fern,42,192,0.0,2.8935756912646866,2.7923735883976313e-7,562,576,0.05,3073,0.9457822612720107,0.9944058014245941,0.998293266623278,0.9993254420219113,189,4.863264916732498e-19,181,192,3.873721050110217e-15,1.554859058633908e-46
rossler_ode0_nr2,fern,42,192,0.0,2.8935756912646866,2.7923735883976313e-7,562,576,0.05,3073,0.9457822612720107,0.9944058014245941,0.998293266623278,0.9993254420219113,189,4.863264916732498e-19,181,192,3.873721050110217e-15,1.554859058633908e-46
rossler_ode0,fern,42,192,0.0,2.8935756912646866,2.7923735883976313e-7,562,576,0.05,3073,0.9457822612720107,0.9944058014245941,0.998293266623278,0.9993254420219113,189,4.863264916732498e-19,181,192,3.873721050110217e-15,1.554859058633908e-46
rossler_ode0,fern,42,192,1.0,39.61649397884753,0.0,254,576,0.05,3073,0.259474884296923,0.4700799074375384,0.5781453384315002,0.6596143155439852,26,0.32077070991085016,44,184,0.2555985848047966,2.9492064414038915e-33
rossler_ode0,fern,42,192,2.0,44.23104421701146,0.0,197,576,0.05,3073,0.13706803431319375,0.2567280661315399,0.3256245028383411,0.3834901652384568,4,0.5357067606804607,37,156,0.30300623738213744,5.6618268341906915e-15
rossler_ode0,fern,42,192,0.25,26.49750834710528,0.0,393,576,0.05,3073,0.6441599323860144,0.8797416793216907,0.9308764508081137,0.9535927839245038,113,0.00603149187425254,109,171,0.016993803161008188,1.4481161051795215e-50
rossler_ode0_nr1,fern,42,192,0.0,2.8935756912646866,2.7923735883976313e-7,562,576,0.05,3073,0.9457822612720107,0.9944058014245941,0.998293266623278,0.9993254420219113,189,4.863264916732498e-19,181,192,3.873721050110217e-15,1.554859058633908e-46
rossler_ode0_nr1,fern,42,192,1.0,38.20508627343281,0.0,271,576,0.05,3073,0.26956896084173987,0.4862879424738764,0.5971719410999023,0.6792561557652674,34,0.36233351789701396,55,182,0.25117360137115874,3.5885052355963666e-31
rossler_ode0_nr1,fern,42,192,2.0,49.788738053319776,0.0,200,576,0.05,3073,0.14033856708970605,0.26322450012655024,0.33407455617022813,0.39263116028491885,12,0.4546265246662982,24,164,0.37968701654657344,8.251035483572817e-16
rossler_ode0_nr1,fern,42,192,0.25,45.29322020981158,0.0,299,576,0.05,3073,0.6272462667679068,0.8726932828940233,0.9308770157645443,0.9573813817478396,72,0.09905495851314333,80,147,0.09013941093303146,7.425181666980631e-33
rossler_ode0_nr2,fern,42,192,0.0,2.8935756912646866,2.7923735883976313e-7,562,576,0.05,3073,0.9457822612720107,0.9944058014245941,0.998293266623278,0.9993254420219113,189,4.863264916732498e-19,181,192,3.873721050110217e-15,1.554859058633908e-46
