dataset,model,pred_len,seq_len,seed,training_time,mse,mae,swd,ept,crps,nll,experiment,eval_tag,sigma,fern_nll
lorenz_state_shock_ode0,fern,64,336,1955,578.8449778556824,1.1985766887664795,0.506569504737854,0.6761772632598877,63.71579360961914,0.37155789136886597,0.9085696935653687,lorenz_state_shock,crps,,
lorenz_state_shock_ode0,fern,64,336,7,660.4752614498138,0.8384979367256165,0.4479699432849884,0.49841195344924927,63.7349853515625,0.32351595163345337,0.7485144138336182,lorenz_state_shock,crps,,
lorenz_state_shock_ode0,fern,64,336,20,700.1766030788422,1.0580768585205078,0.47188687324523926,0.6173245310783386,63.69298553466797,0.34136539697647095,0.8020098209381104,lorenz_state_shock,crps,,
lorenz_state_shock_ode0,fern,192,336,1955,1838.659754037857,3.6452841758728027,0.8053544163703918,0.7973228693008423,182.38522338867188,0.5887874960899353,1.2461111545562744,lorenz_state_shock,crps,,
lorenz_state_shock_ode0,fern,192,336,7,1044.9793157577515,4.706881523132324,1.0027915239334106,1.13844633102417,181.32611083984375,0.7396702170372009,1.6466093063354492,lorenz_state_shock,crps,,
lorenz_state_shock_ode0,fern,192,336,20,1452.7725927829742,4.065859794616699,0.8007605671882629,0.8495469689369202,184.4812469482422,0.5939143896102905,1.338611364364624,lorenz_state_shock,crps,,
lorenz_switch_ode0,fern,64,336,1955,590.6269774436951,2.1755125522613525,0.5300979614257812,1.2542483806610107,63.53199768066406,0.3880713880062103,0.8668867349624634,lorenz_switch,crps,,
lorenz_switch_ode0,fern,64,336,7,508.14129972457886,2.373971939086914,0.49598902463912964,1.2806137800216675,63.575340270996094,0.37237536907196045,0.8170764446258545,lorenz_switch,crps,,
lorenz_switch_ode0,fern,64,336,20,583.0392801761627,2.245849370956421,0.5534988641738892,1.2603503465652466,63.42930603027344,0.40645360946655273,0.9801241755485535,lorenz_switch,crps,,
lorenz_switch_ode0,fern,192,336,1955,1475.9423604011536,7.118204116821289,1.0514918565750122,1.711841106414795,180.255615234375,0.8043192028999329,1.9231277704238892,lorenz_switch,crps,,
lorenz_switch_ode0,fern,192,336,7,1871.23232960701,6.12601900100708,0.893227219581604,1.3022733926773071,181.94085693359375,0.6927334666252136,1.954351544380188,lorenz_switch,crps,,
lorenz_switch_ode0,fern,192,336,20,1190.1579825878143,6.717062473297119,1.0455646514892578,1.640036940574646,180.29953002929688,0.7909972667694092,1.89879310131073,lorenz_switch,crps,,
rossler_ode0,fern,64,336,1955,786.9196221828461,0.007626733276993036,0.04981138929724693,0.006386359687894583,64.0,0.04365502670407295,-1.0728048086166382,rossler,crps,,
rossler_ode0,fern,64,336,7,525.7212138175964,0.009844851680099964,0.06517408788204193,0.007515958044677973,64.0,0.05177026614546776,-0.9652033448219299,rossler,crps,,
rossler_ode0,fern,64,336,20,300.659663438797,0.018881868571043015,0.07933161407709122,0.015699312090873718,64.0,0.06551506370306015,-0.7640671730041504,rossler,crps,,
rossler_ode0,fern,192,336,1955,552.1542220115662,0.03286918252706528,0.08834180235862732,0.026229683309793472,191.0605010986328,0.07091955840587616,-0.7436982989311218,rossler,crps,,
rossler_ode0,fern,192,336,7,428.783793926239,0.03620975464582443,0.10727813839912415,0.02552011050283909,191.61233520507812,0.08416958153247833,-0.556462824344635,rossler,crps,,
rossler_ode0,fern,192,336,20,433.64248180389404,0.04923791438341141,0.11922218650579453,0.03691595792770386,191.27590942382812,0.09015938639640808,-0.5160481333732605,rossler,crps,,
rossler_param_shock_ode0,fern,64,336,1955,447.14591455459595,0.05242003872990608,0.09505628049373627,0.04592273011803627,63.91413497924805,0.07258870452642441,-0.8409112095832825,rossler_param_shock,crps,,
rossler_param_shock_ode0,fern,64,336,7,320.72681856155396,0.033359117805957794,0.08247442543506622,0.026984350755810738,64.0,0.0686030164361,-0.797559380531311,rossler_param_shock,crps,,
rossler_param_shock_ode0,fern,64,336,20,658.9227428436279,0.03349681571125984,0.09043576568365097,0.03049527481198311,63.99525451660156,0.06867565214633942,-0.8372466564178467,rossler_param_shock,crps,,
rossler_param_shock_ode0,fern,192,336,1955,828.888605594635,0.038407765328884125,0.08982747793197632,0.03017229586839676,191.46347045898438,0.07019880414009094,-0.8084510564804077,rossler_param_shock,crps,,
rossler_param_shock_ode0,fern,192,336,7,471.43575620651245,0.12940312922000885,0.1424393355846405,0.08324847370386124,189.38339233398438,0.1092018410563469,-0.5124977827072144,rossler_param_shock,crps,,
rossler_param_shock_ode0,fern,192,336,20,1142.1036641597748,0.037302300333976746,0.08903345465660095,0.025390122085809708,191.9271697998047,0.0683026909828186,-0.8452661037445068,rossler_param_shock,crps,,
seasonal_ar_ode0,fern,64,336,1955,129.11128902435303,0.053444214165210724,0.18553903698921204,0.018288856372237206,64.0,0.13264890015125275,0.019813818857073784,seasonal_ar,crps,,
