dataset,model,flavor,pred_len,seq_len,sigma,seed,mse,mae,crps,swd,ept,experiment
doublewell_switch_ode0,chronos-2,chronos2,192,336,1.0,1955,1.7590410360731172,1.049417417784552,0.8185446349320803,1.4954029321670532,2.003039598464966,doublewell_switch
doublewell_switch_ode0,chronos-2,chronos2,64,336,2.0,1955,4.484413658744601,1.6858218308293627,1.3053926079189289,4.0885725021362305,0.6636536717414856,doublewell_switch
doublewell_switch_ode0,chronos-2,chronos2,192,336,2.0,1955,4.984787559316031,1.7749026374855543,1.3763317255022074,4.134364604949951,0.6621074080467224,doublewell_switch
rossler_ode0,chronos-bolt-base,chronos,64,336,0.0,0,8.522326211016662,0.6809940062052854,0.5589169050523647,7.135058879852295,62.163177490234375,rossler
rossler_ode0,chronos-bolt-base,chronos,192,336,0.0,0,107.68940969838812,2.818699322084062,2.376588679601991,97.53150939941406,159.01116943359375,rossler
rossler_ode0,chronos-bolt-base,chronos,64,336,0.25,0,5.025444876883261,0.7815045101821615,0.6342037054358529,3.9983410835266113,61.69395065307617,rossler
rossler_ode0,chronos-bolt-base,chronos,192,336,0.25,0,44.25371450025649,2.4941448003811195,2.096212657127493,38.931297302246094,153.2282257080078,rossler
rossler_ode0,chronos-bolt-base,chronos,64,336,1.0,0,5.153007538308951,1.4235075649017965,1.1223901375859748,3.9940707683563232,54.70623779296875,rossler
rossler_ode0,chronos-bolt-base,chronos,192,336,1.0,0,24.742090627627046,3.1092967888441443,2.5837025273737155,20.7548828125,102.0114974975586,rossler
rossler_ode0,chronos-bolt-base,chronos,64,336,2.0,0,8.79674362473397,2.2091951093164246,1.7165741301148953,6.835384368896484,20.52618980407715,rossler
rossler_ode0,chronos-bolt-base,chronos,192,336,2.0,0,28.0987137071989,3.812045907441493,3.1108232902102104,23.302724838256836,22.265213012695312,rossler
rossler_ode0,chronos-2,chronos2,64,336,0.0,0,1.0350584756591898,0.2474072573645021,0.20639878349991828,0.7648332118988037,63.20452117919922,rossler
rossler_ode0,chronos-2,chronos2,192,336,0.0,0,12.694403108833418,1.3151173361100235,1.088659450571866,9.783154487609863,177.28810119628906,rossler
rossler_ode0,chronos-2,chronos2,64,336,0.25,0,1.9118390985544704,0.5062558754997726,0.4087019938935616,1.4527366161346436,62.794647216796875,rossler
rossler_ode0,chronos-2,chronos2,192,336,0.25,0,14.431520693135864,1.5824227184622959,1.3136425908145373,11.982187271118164,172.36912536621094,rossler
rossler_ode0,chronos-2,chronos2,64,336,1.0,0,4.363351221470911,1.1919115378957708,0.9387650223966565,3.1390438079833984,55.9476203918457,rossler
rossler_ode0,chronos-2,chronos2,192,336,1.0,0,19.434329755817355,2.2656957298968727,1.8135278983338043,16.12211036682129,121.11302947998047,rossler
rossler_ode0,chronos-2,chronos2,64,336,2.0,0,8.045195379617697,2.0377177753188294,1.5842567559245924,5.843496799468994,23.15276527404785,rossler
rossler_ode0,chronos-2,chronos2,192,336,2.0,0,20.723324575802465,3.0140102044549075,2.3740747727260554,16.203784942626953,26.56524658203125,rossler
rossler_param_shock_ode0,chronos-bolt-base,chronos,64,336,0.0,0,64.9661338339991,1.2202836105901227,1.0439016690775247,54.16044616699219,61.787567138671875,rossler_param_shock
rossler_param_shock_ode0,chronos-bolt-base,chronos,192,336,0.0,0,443.5179988454056,4.409521678137401,3.8972493161046087,412.54571533203125,154.6961669921875,rossler_param_shock
rossler_param_shock_ode0,chronos-bolt-base,chronos,64,336,0.25,0,48.384759519021486,1.3308535103846078,1.1198119222512657,39.603397369384766,61.630428314208984,rossler_param_shock
rossler_param_shock_ode0,chronos-bolt-base,chronos,192,336,0.25,0,265.2852262869425,3.921120079176525,3.362636452036251,246.3202667236328,150.6705780029297,rossler_param_shock
rossler_param_shock_ode0,chronos-bolt-base,chronos,64,336,1.0,0,23.532784192348338,1.774440221559079,1.4232067689974581,18.88186264038086,59.11277770996094,rossler_param_shock
rossler_param_shock_ode0,chronos-bolt-base,chronos,192,336,1.0,0,102.29592160071365,3.8947387346628455,3.2596682559281396,91.89039611816406,118.12810516357422,rossler_param_shock
rossler_param_shock_ode0,chronos-bolt-base,chronos,64,336,2.0,0,20.30589053388264,2.5175270716945146,1.9859927662161505,16.76190185546875,22.965843200683594,rossler_param_shock
rossler_param_shock_ode0,chronos-bolt-base,chronos,192,336,2.0,0,60.72097100262253,4.3413439984219355,3.5768817994480524,52.62398147583008,25.236576080322266,rossler_param_shock
rossler_param_shock_ode0,chronos-2,chronos2,64,336,0.0,0,10.999267479001166,0.4688816745368364,0.3940820171242686,7.569887161254883,62.69894790649414,rossler_param_shock
rossler_param_shock_ode0,chronos-2,chronos2,192,336,0.0,0,43.858869038482645,1.9151835390728105,1.6737248613253621,35.74723434448242,176.39906311035156,rossler_param_shock
rossler_param_shock_ode0,chronos-2,chronos2,64,336,0.25,0,13.245201703124923,0.7279320013444895,0.5942495953884024,9.507604598999023,62.66822814941406,rossler_param_shock
rossler_param_shock_ode0,chronos-2,chronos2,192,336,0.25,0,34.1801180585922,2.0601681577808906,1.7656011590019898,28.628236770629883,172.6508331298828,rossler_param_shock
rossler_param_shock_ode0,chronos-2,chronos2,64,336,1.0,0,16.069487487799325,1.3853633840493977,1.1078741742610485,11.929451942443848,60.98271560668945,rossler_param_shock
rossler_param_shock_ode0,chronos-2,chronos2,192,336,1.0,0,37.821327514847056,2.6940391941348483,2.187288508955472,31.837465286254883,141.69920349121094,rossler_param_shock
rossler_param_shock_ode0,chronos-2,chronos2,64,336,2.0,0,19.540103288289224,2.235887398164148,1.762613590118923,14.868280410766602,25.82057762145996,rossler_param_shock
rossler_param_shock_ode0,chronos-2,chronos2,192,336,2.0,0,39.32487477034521,3.451824329057743,2.7623470085072457,31.63225746154785,30.53899574279785,rossler_param_shock
