dataset,model,pred_len,seq_len,seed,training_time,mse,mae,swd,ept,crps,nll,fern_nll,experiment,eval_tag,sigma
rossler_ode0_nr2,fern,192,336,42,1263.4393129348755,0.8659763932228088,0.43569812178611755,0.7100695967674255,184.776123046875,0.3487885892391205,2.1468002796173096,0.6989576816558838,rossler,fern_nll,0.25
rossler_ode0,fern,192,336,42,525.4997024536133,2.303760290145874,1.0496530532836914,1.4080396890640259,151.0924072265625,0.8378644585609436,4.295421123504639,3.216527223587036,rossler,fern_nll,1.0
rossler_ode0_nr1,fern,192,336,42,819.4546761512756,2.2907440662384033,1.0064010620117188,1.465890884399414,152.02423095703125,0.8017764687538147,4.270111083984375,3.192901372909546,rossler,fern_nll,1.0
rossler_ode0_nr2,fern,192,336,42,502.47295022010803,2.3161137104034424,1.0525603294372559,1.384214162826538,151.9524383544922,0.8418280482292175,4.314754962921143,3.2358815670013428,rossler,fern_nll,1.0
rossler_ode0,fern,192,336,42,507.44429087638855,5.782803058624268,1.8361400365829468,2.9959027767181396,36.07133102416992,1.5838881731033325,10.30538558959961,8.967958450317383,rossler,fern_nll,2.0
rossler_ode0_nr1,fern,192,336,42,555.699541091919,5.521539688110352,1.7716139554977417,3.0149471759796143,33.5273551940918,1.5222142934799194,9.857682228088379,8.53425407409668,rossler,fern_nll,2.0
rossler_ode0_nr2,fern,192,336,42,507.25165724754333,5.516160488128662,1.7949001789093018,2.8191723823547363,39.51527786254883,1.5441739559173584,9.8521146774292,8.526627540588379,rossler,fern_nll,2.0
rossler_param_shock_ode0,fern,192,336,42,2364.0558428764343,0.026561714708805084,0.10452085733413696,0.02101984992623329,192.0,0.0845172107219696,-0.47485116124153137,-2.0733509063720703,rossler_param_shock,fern_nll,0.0
rossler_param_shock_ode0_nr1,fern,192,336,42,2352.399413585663,0.026561714708805084,0.10452085733413696,0.02101984992623329,192.0,0.0845172107219696,-0.47485116124153137,-2.0733509063720703,rossler_param_shock,fern_nll,0.0
rossler_param_shock_ode0_nr2,fern,192,336,42,2486.5022263526917,0.026561714708805084,0.10452085733413696,0.02101984992623329,192.0,0.0845172107219696,-0.47485116124153137,-2.0733509063720703,rossler_param_shock,fern_nll,0.0
rossler_param_shock_ode0,fern,192,336,42,1087.405696630478,3.2764182090759277,0.5317510366439819,2.9604177474975586,185.99234008789062,0.43201225996017456,6.663256645202637,4.720767974853516,rossler_param_shock,fern_nll,0.25
rossler_param_shock_ode0_nr1,fern,192,336,42,656.5015978813171,3.7091588973999023,0.6082320213317871,3.4521477222442627,185.98184204101562,0.49095970392227173,6.921907424926758,5.511840343475342,rossler_param_shock,fern_nll,0.25
rossler_param_shock_ode0_nr2,fern,192,336,42,880.863095998764,3.6452980041503906,0.5939307808876038,3.2982959747314453,186.17140197753906,0.48204588890075684,7.015214920043945,5.377296447753906,rossler_param_shock,fern_nll,0.25
rossler_param_shock_ode0,fern,192,336,42,679.6091332435608,6.206675052642822,1.1503369808197021,5.105628967285156,175.16539001464844,0.9414675831794739,11.00874137878418,9.665806770324707,rossler_param_shock,fern_nll,1.0
rossler_param_shock_ode0_nr1,fern,192,336,42,564.2949066162109,6.731995105743408,1.158830165863037,5.774013996124268,173.14120483398438,0.9513207077980042,11.941169738769531,10.536969184875488,rossler_param_shock,fern_nll,1.0
rossler_param_shock_ode0_nr2,fern,192,336,42,647.1033964157104,6.321720600128174,1.177517294883728,5.202578544616699,173.24746704101562,0.9667669534683228,11.194239616394043,9.856982231140137,rossler_param_shock,fern_nll,1.0
rossler_param_shock_ode0,fern,192,336,42,998.0739307403564,10.19225025177002,1.9530596733093262,7.396986961364746,38.49214172363281,1.7003867626190186,17.77817153930664,16.25276756286621,rossler_param_shock,fern_nll,2.0
rossler_param_shock_ode0_nr1,fern,192,336,42,926.4296827316284,10.332176208496094,1.9201600551605225,7.661407947540283,34.54490280151367,1.67018461227417,18.177011489868164,16.483850479125977,rossler_param_shock,fern_nll,2.0
rossler_param_shock_ode0_nr2,fern,192,336,42,678.156227350235,10.252245903015137,1.9437326192855835,7.484861850738525,40.48904800415039,1.6925026178359985,18.0305118560791,16.35370445251465,rossler_param_shock,fern_nll,2.0
